id,age,rotoworld_id,sportradar_id,depth_chart_order,number,high_school,weight,height,last_name,search_last_name,full_name,player_id,status,hashtag,gsis_id,birth_city,birth_country,practice_participation,position,birth_date,fantasy_positions,injury_body_part,depth_chart_position,sport,first_name,espn_id,fantasy_data_id,years_exp,rotowire_id,pandascore_id,stats_id,swish_id,college,search_rank,birth_state,team,search_first_name,search_full_name,yahoo_id,injury_start_date,news_updated,injury_status,active,injury_notes,practice_description,personal_tier,ringer_tier,fp_tier,bs_tier,personal_pos_tier,ringer_pos_tier,fp_pos_tier,bs_pos_tier,bye,personal_ranking,ringer_ranking,fp_ranking,bs_ranking,personal_pos_ranking,ringer_pos_ranking,fp_pos_ranking,bs_pos_ranking,fp_adp,fp_ecr,bs_adp,bs_ecr,createdAt,updatedAt
96,39,3118,0ce48193-e2fa-466e-a986-33f751add206,1,8,Pleasant Valley (CA),223,74,Rodgers,rodgers,Aaron Rodgers,96,Active,#aaronrodgers-NFL-NYJ-8,00-0023459,,,,QB,1983-12-02,QB,,QB,nfl,Aaron,8439,2593,18,4307,,213957,213957,California,102,,NYJ,aaron,aaronrodgers,7200,,1690410321587,,true,,,0,0,8,0,0,6,3,0,7,0,111,118,0,0,17,15,0,106,118,0,0,2023-07-28T16:28:34.995Z,2023-07-28T16:50:44.879Z
LV,,,,,,,,,Raiders,,Las Vegas Raiders,LV,,,,,,,DEF,,DEF,,,nfl,Las Vegas,,,,,,,,,,,LV,,,,,,,true,,,0,0,14,0,0,0,5,0,13,0,0,408,0,0,0,32,0,0,408,0,0,2023-07-28T16:28:50.630Z,2023-07-28T16:50:40.009Z
533,36,5699,3699dfd9-d437-43f7-b674-adbb31e7e64b,1,12,Jim Ned (TX),212,73,McCoy,mccoy,Colt McCoy,533,Active,#coltmccoy-NFL-ARI-12,00-0027688,,,,QB,1986-09-05,QB,,QB,nfl,Colt,13199,11047,13,6444,,306296,306296,Texas,357,,ARI,colt,coltmccoy,24060,,1687034739747,,true,,,0,0,14,0,0,0,6,0,14,0,0,377,0,0,0,38,0,0,377,0,0,2023-07-28T16:28:35.134Z,2023-07-28T16:50:39.698Z
928,32,6497,3283f152-d373-43b3-b88f-f6f261c48e81,,18,Alcoa (TN),192,70,Cobb,cobb,Randall Cobb,928,Active,#randallcobb-NFL-NYJ-18,00-0028002,,,,WR,1990-08-22,WR,Ankle,,nfl,Randall,14053,13227,12,7256,,465949,465949,Kentucky,386,,NYJ,randall,randallcobb,24851,,1689810304037,PUP,true,Surgery,,0,0,14,0,0,0,10,0,7,0,0,415,0,0,0,141,0,0,415,0,0,2023-07-28T16:28:35.244Z,2023-07-28T16:50:44.295Z
1034,33,8119,dba5e3ec-2c77-4f65-ad6e-cee246f816ef,3,34,Scotlandville Magnet (LA),220,71,Bolden,bolden,Brandon Bolden,1034,Active,#brandonbolden-NFL-LV-34,00-0029239,,,,RB,1990-01-26,RB,,RB,nfl,Brandon,15478,13741,11,8077,,465752,465752,Ole Miss,9999999,,LV,brandon,brandonbolden,26389,,1673885710588,,true,,,0,0,15,0,0,0,11,0,13,0,0,473,0,0,0,130,0,0,473,0,0,2023-07-28T16:28:35.267Z,2023-07-28T16:50:40.974Z
1067,33,7503,1a2fbc23-e6db-4d2f-a152-2c774341b7c4,1,0,Eitwanda (CA),199,74,Jones,jones,Marvin Jones,1067,Active,#marvinjones-NFL-DET-0,00-0029293,,,,WR,1990-03-12,WR,Undisclosed,LWR,nfl,Marvin,15072,13870,11,8223,,461620,461620,California,263,,DET,marvin,marvinjones,25876,,1690145405848,PUP,true,,,0,0,12,0,0,0,8,0,9,0,0,257,0,0,0,94,0,297,257,0,0,2023-07-28T16:28:35.271Z,2023-07-28T16:50:43.906Z
1346,32,8461,bf52ff53-35a6-4696-ac6d-3fa952dc2c87,3,19,Rowlett (TX),185,69,Goodwin,goodwin,Marquise Goodwin,1346,Active,#marquisegoodwin-NFL-CLE-19,00-0030068,,,,WR,1990-11-19,WR,Undisclosed,RWR,nfl,Marquise,15839,14865,10,8807,,507478,507478,Texas,9999999,,CLE,marquise,marquisegoodwin,26701,,1690001456606,PUP,true,,,0,0,15,0,0,0,10,0,5,0,0,475,0,0,0,153,0,0,475,0,0,2023-07-28T16:28:35.345Z,2023-07-28T16:50:44.377Z
1266,35,7616,93d11276-45d2-4168-a9b7-df0cbf12dabb,1,9,Lincoln Pius X (NE),187,72,Zuerlein,zuerlein,Greg Zuerlein,1266,Active,#gregzuerlein-NFL-NYJ-9,00-0029621,,,,K,1987-12-27,K,,K,nfl,Greg,14993,14697,11,8179,,558684,558684,Missouri Western State,385,,NYJ,greg,gregzuerlein,25881,,1678818351892,,true,,,0,0,12,0,0,0,3,0,7,0,0,274,0,0,0,14,0,261,274,0,0,2023-07-28T16:28:35.328Z,2023-07-28T16:50:39.414Z
1348,32,8581,058c99fc-470c-4579-a165-03e043335cc1,,4,Clear Lake (TX),193,74,Hopkins,hopkins,Dustin Hopkins,1348,Active,#dustinhopkins-NFL-LAC-4,00-0030098,,,,K,1990-10-01,K,,,nfl,Dustin,15965,14867,10,8896,,509358,509358,Florida State,9999999,,LAC,dustin,dustinhopkins,26800,,1680059717600,,true,,,0,0,12,0,0,0,3,0,5,0,0,294,0,0,0,20,0,0,294,0,0,2023-07-28T16:28:35.352Z,2023-07-28T16:50:39.479Z
1373,32,8326,cfc93f5e-105e-4a5e-88d3-f4279893cfa8,1,7,Miramar (FL),221,75,Smith,smith,Geno Smith,1373,Active,#genosmith-NFL-SEA-7,00-0030565,,,,QB,1990-10-10,QB,,QB,nfl,Geno,15864,14895,10,8743,,513856,513856,West Virginia,105,,SEA,geno,genosmith,26662,,1682649908336,,true,,,0,0,8,0,0,5,3,0,5,0,106,112,0,0,14,14,0,110,112,0,0,2023-07-28T16:28:35.361Z,2023-07-28T16:50:44.874Z
